case,model,step,x,y,Cfx_ref,Cfx_case,Cp_ref,Cp_case,Yplus_ref,Yplus_case
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.873687,0.017704,1.578992e-03,1.578992e-03,-2.438102e-02,-2.438102e-02,0.8430,0.8430
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.878115,0.017168,1.553474e-03,1.553474e-03,-1.856728e-02,-1.856728e-02,0.8362,0.8362
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.882512,0.016633,1.527526e-03,1.527526e-03,-1.270425e-02,-1.270425e-02,0.8293,0.8293
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.886878,0.016099,1.501164e-03,1.501164e-03,-6.791372e-03,-6.791372e-03,0.8221,0.8221
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.891213,0.015566,1.474569e-03,1.474569e-03,-7.926204e-04,-7.926204e-04,0.8148,0.8148
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.895518,0.015034,1.447777e-03,1.447777e-03,5.199818e-03,5.199818e-03,0.8074,0.8074
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.899793,0.014503,1.420051e-03,1.420051e-03,1.106825e-02,1.106825e-02,0.7997,0.7997
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.904038,0.013973,1.392178e-03,1.392178e-03,1.734104e-02,1.734104e-02,0.7918,0.7918
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.908253,0.013445,1.365228e-03,1.365228e-03,2.355943e-02,2.355943e-02,0.7842,0.7842
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.912439,0.012917,1.338090e-03,1.338090e-03,2.959249e-02,2.959249e-02,0.7764,0.7764
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.916595,0.012391,1.310052e-03,1.310052e-03,3.569086e-02,3.569086e-02,0.7682,0.7682
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.920722,0.011866,1.281183e-03,1.281183e-03,4.185834e-02,4.185834e-02,0.7597,0.7597
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.924820,0.011342,1.251511e-03,1.251511e-03,4.811804e-02,4.811804e-02,0.7509,0.7509
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.928890,0.010819,1.221070e-03,1.221070e-03,5.446536e-02,5.446536e-02,0.7417,0.7417
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.932930,0.010297,1.189853e-03,1.189853e-03,6.090203e-02,6.090203e-02,0.7322,0.7322
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.936943,0.009777,1.157840e-03,1.157840e-03,6.742816e-02,6.742816e-02,0.7223,0.7223
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.940927,0.009257,1.124995e-03,1.124995e-03,7.404723e-02,7.404723e-02,0.7121,0.7121
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.944883,0.008739,1.091344e-03,1.091344e-03,8.077668e-02,8.077668e-02,0.7013,0.7013
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.948811,0.008222,1.056847e-03,1.056847e-03,8.758375e-02,8.758375e-02,0.6902,0.6902
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.952712,0.007707,1.021123e-03,1.021123e-03,9.441468e-02,9.441468e-02,0.6785,0.6785
